
Date,Name,Year,Letterboxd URI,Rating
2024-01-15,Vice,2018,https://boxd.it/fcFY,4.5
2024-01-18,Anyone But You,2023,https://boxd.it/EzA8,3
2024-02-05,Madea's Witness Protection,2012,https://boxd.it/3who,5
2024-02-06,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,4
2024-02-08,The Help,2011,https://boxd.it/EDm,3.5
2024-02-15,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,3
2024-02-22,Promising Young Woman,2020,https://boxd.it/loRE,3
2024-02-24,Georgia Rule,2007,https://boxd.it/1QHi,2.5
2024-02-24,The Notebook,2004,https://boxd.it/1UNE,4
2024-02-29,Dumb Money,2023,https://boxd.it/tNdU,2.5
2024-03-05,Self Reliance,2023,https://boxd.it/EzDG,2
2024-03-07,10 Cloverfield Lane,2016,https://boxd.it/aZiu,2.5
2024-03-10,Uptown Girls,2003,https://boxd.it/1N64,3.5
2024-03-10,My Big Fat Greek Wedding,2002,https://boxd.it/20k4,3.5
2024-03-13,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-17,Full Metal Jacket,1987,https://boxd.it/2a1Q,5
2024-03-20,Dream Scenario,2023,https://boxd.it/v2h0,4
2024-03-26,Quiet on Set: The Dark Side of Kids TV,2024,https://boxd.it/LWIy,4
2024-03-27,A Star Is Born,2018,https://boxd.it/aXgc,3
2024-03-30,The Blues Brothers,1980,https://boxd.it/2adi,5
2024-04-02,The Sound of Music,1965,https://boxd.it/1MLK,5
2024-04-11,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,3.5
2024-04-12,Talk to Me,2022,https://boxd.it/C6uQ,4.5
2024-04-18,Infinity Pool,2023,https://boxd.it/oPSK,3
2024-04-23,Stuck in Love,2012,https://boxd.it/3L08,4
2024-04-23,Barbie,2023,https://boxd.it/bCLK,3
2024-05-02,Amy,2015,https://boxd.it/aSNU,5
2024-05-14,The Iron Claw,2023,https://boxd.it/w5Pm,5
2024-05-14,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2024-05-16,Madame Web,2024,https://boxd.it/nwD0,5
2024-05-19,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,3
2024-05-19,Challengers,2024,https://boxd.it/zld0,4
2024-05-27,American Fiction,2023,https://boxd.it/DYHm,4.5
2024-05-27,Cruel Intentions,1999,https://boxd.it/29Be,2
2024-05-28,Mad Max,1979,https://boxd.it/1Y7i,2
2024-05-30,Air Force One,1997,https://boxd.it/1XQw,3
2024-06-01,Eat Pray Love,2010,https://boxd.it/16Cc,2.5
2024-06-01,Joy,2015,https://boxd.it/8kEU,3
2024-06-06,Thank You for Smoking,2005,https://boxd.it/1YOc,2.5
